AttendanceDate,Employee,Code,InTime,OutTime
21/05/2016,LKAS002,00:00,00:00,
21/05/2016,LKB001,00:00,00:00,
21/05/2016,LKB002,00:00,00:00,
21/05/2016,LKB003,00:00,00:00,
21/05/2016,LKB004,00:00,00:00,
21/05/2016,LKB005,00:00,00:00,
21/05/2016,LKC002,00:00,00:00,
21/05/2016,LKD001,00:00,00:00,
21/05/2016,LKD004,00:00,00:00,
21/05/2016,LKD005,00:00,00:00,
21/05/2016,LKD006,00:00,00:00,
21/05/2016,LKD008,00:00,00:00,
21/05/2016,LKD010,00:00,00:00,
21/05/2016,LKD012,00:00,00:00,
21/05/2016,LKD016,10:44,23:48,
21/05/2016,LKD017,00:00,00:00,
21/05/2016,LKD020,00:00,00:00,
21/05/2016,LKD021,00:00,00:00,
21/05/2016,LKD022,00:00,00:00,
21/05/2016,LKD023,00:00,00:00,
21/05/2016,LKD024,00:00,00:00,
21/05/2016,LKD025,00:00,00:00,
21/05/2016,LKD026,00:00,00:00,
21/05/2016,LKD027,00:00,00:00,
21/05/2016,LKD029,00:00,00:00,
21/05/2016,LKH004,00:00,00:00,
21/05/2016,LKH005,00:00,00:00,
21/05/2016,LKI002,00:00,00:00,
21/05/2016,LKM001,00:00,00:00,
21/05/2016,LKM002,00:00,00:00,
21/05/2016,LKM003,00:00,00:00,
21/05/2016,LKQ002,00:00,00:00,
21/05/2016,LKQ003,00:00,00:00,
21/05/2016,LKQ004,00:00,00:00,
21/05/2016,LKQ005,00:00,00:00,
21/05/2016,LKS001,00:00,00:00,
20/05/2016,LKAS001,00:00,00:00,
20/05/2016,LKAS002,08:21,15:15,
20/05/2016,LKAS003,00:00,00:00,
20/05/2016,LKB001,11:51,18:42,
20/05/2016,LKB002,09:27,19:41,
20/05/2016,LKB003,09:21,18:10,
20/05/2016,LKB004,10:48,10:48,
20/05/2016,LKB005,10:20,18:05,
20/05/2016,LKC002,10:23,18:33,
20/05/2016,LKC003,00:00,00:00,
20/05/2016,LKD001,12:39,21:22,
20/05/2016,LKD002,00:00,00:00,
20/05/2016,LKD004,10:04,18:13,
20/05/2016,LKD005,00:00,00:00,
20/05/2016,LKD006,10:31,18:51,
20/05/2016,LKD007,00:00,00:00,
20/05/2016,LKD008,10:31,16:38,
20/05/2016,LKD009,00:00,00:00,
20/05/2016,LKD010,10:30,15:42,
20/05/2016,LKD012,10:00,21:40,
20/05/2016,LKD014,00:00,00:00,
20/05/2016,LKD016,10:10,17:36,
20/05/2016,LKD017,09:24,16:45,
20/05/2016,LKD018,00:00,00:00,
20/05/2016,LKD020,00:00,00:00,
20/05/2016,LKD021,00:00,00:00,
20/05/2016,LKD022,10:25,18:26,
20/05/2016,LKD023,00:00,00:00,
20/05/2016,LKD024,00:00,00:00,
20/05/2016,LKD025,09:51,19:28,
20/05/2016,LKD026,00:00,00:00,
20/05/2016,LKD027,10:24,21:39,
20/05/2016,LKD028,00:00,00:00,
20/05/2016,LKD029,09:55,19:04,
20/05/2016,LKD030,00:00,00:00,
20/05/2016,LKH004,10:40,18:41,
20/05/2016,LKH005,08:43,17:35,
20/05/2016,LKI002,10:28,18:07,
20/05/2016,LKM001,00:00,00:00,
20/05/2016,LKM002,00:00,00:00,
20/05/2016,LKM003,00:00,00:00,
20/05/2016,LKQ002,09:58,10:56,
20/05/2016,LKQ003,09:27,17:39,
20/05/2016,LKQ004,09:54,21:35,
20/05/2016,LKQ005,09:20,16:36,
20/05/2016,LKS001,10:27,19:24,
20/05/2016,LKS002,00:00,00:00,
19/05/2016,LKAS001,00:00,00:00,
19/05/2016,LKAS002,08:12,16:09,
19/05/2016,LKAS003,00:00,00:00,
19/05/2016,LKB001,11:21,19:19,
19/05/2016,LKB002,00:00,00:00,
19/05/2016,LKB003,09:12,18:07,
19/05/2016,LKB004,13:33,20:34,
19/05/2016,LKB005,00:00,00:00,
19/05/2016,LKC002,10:02,18:17,
19/05/2016,LKC003,00:00,00:00,
19/05/2016,LKD001,11:19,18:42,
19/05/2016,LKD002,00:00,00:00,
19/05/2016,LKD004,12:53,20:40,
19/05/2016,LKD005,00:00,00:00,
19/05/2016,LKD006,10:35,00:38,
19/05/2016,LKD007,00:00,00:00,
19/05/2016,LKD008,10:35,20:24,
19/05/2016,LKD009,00:00,00:00,
19/05/2016,LKD010,11:10,23:29,
19/05/2016,LKD012,00:00,00:00,
19/05/2016,LKD014,00:00,00:00,
19/05/2016,LKD016,10:30,23:50,
19/05/2016,LKD017,09:47,18:06,
19/05/2016,LKD018,00:00,00:00,
19/05/2016,LKD020,00:00,00:00,
19/05/2016,LKD021,10:28,19:10,
19/05/2016,LKD022,10:31,18:47,
19/05/2016,LKD023,00:00,00:00,
19/05/2016,LKD024,00:00,00:00,
19/05/2016,LKD025,09:44,21:10,
19/05/2016,LKD026,10:04,19:27,
19/05/2016,LKD027,08:54,21:48,
19/05/2016,LKD028,00:00,00:00,
19/05/2016,LKD029,10:07,18:57,
19/05/2016,LKD030,00:00,00:00,
19/05/2016,LKH004,11:09,18:31,
19/05/2016,LKH005,08:52,18:29,
19/05/2016,LKI002,09:46,19:20,
19/05/2016,LKM001,09:40,16:15,
19/05/2016,LKM002,00:00,00:00,
19/05/2016,LKM003,13:39,16:10,
19/05/2016,LKQ002,10:09,19:32,
19/05/2016,LKQ003,08:21,18:51,
19/05/2016,LKQ004,10:31,19:34,
19/05/2016,LKQ005,08:21,18:51,
19/05/2016,LKS001,10:28,19:09,
19/05/2016,LKS002,00:00,00:00,
18/05/2016,LKAS001,00:00,00:00,
18/05/2016,LKAS002,08:18,16:10,
18/05/2016,LKAS003,00:00,00:00,
18/05/2016,LKB001,00:00,00:00,
18/05/2016,LKB002,09:35,19:44,
18/05/2016,LKB003,09:28,18:06,
18/05/2016,LKB004,00:00,00:00,
18/05/2016,LKB005,00:00,00:00,
18/05/2016,LKC002,10:05,18:14,
18/05/2016,LKC003,00:00,00:00,
18/05/2016,LKD001,10:15,23:33,
18/05/2016,LKD002,00:00,00:00,
18/05/2016,LKD004,10:00,21:06,
18/05/2016,LKD005,00:00,00:00,
18/05/2016,LKD006,10:40,23:20,
18/05/2016,LKD007,00:00,00:00,
18/05/2016,LKD008,10:51,20:31,
18/05/2016,LKD009,00:00,00:00,
18/05/2016,LKD010,10:34,00:03,
18/05/2016,LKD012,10:21,20:50,
18/05/2016,LKD014,00:00,00:00,
18/05/2016,LKD016,10:11,00:14,
18/05/2016,LKD017,09:11,18:08,
18/05/2016,LKD018,10:45,10:50,
18/05/2016,LKD020,00:00,00:00,
18/05/2016,LKD021,10:24,20:28,
18/05/2016,LKD022,10:13,20:28,
18/05/2016,LKD023,00:00,00:00,
18/05/2016,LKD024,00:00,00:00,
18/05/2016,LKD025,09:58,19:50,
18/05/2016,LKD026,10:09,19:47,
18/05/2016,LKD027,10:01,19:45,
18/05/2016,LKD028,18:53,18:56,
18/05/2016,LKD029,09:55,19:45,
18/05/2016,LKD030,00:00,00:00,
18/05/2016,LKH004,10:48,19:20,
18/05/2016,LKH005,09:04,19:25,
18/05/2016,LKI002,10:00,18:52,
18/05/2016,LKM001,09:47,21:00,
18/05/2016,LKM002,19:20,19:20,
18/05/2016,LKM003,09:02,16:37,
18/05/2016,LKQ002,09:38,18:56,
18/05/2016,LKQ003,09:13,19:07,
18/05/2016,LKQ004,09:28,20:09,
18/05/2016,LKQ005,09:24,20:50,
18/05/2016,LKS001,11:36,20:02,
18/05/2016,LKS002,00:00,00:00,
17/05/2016,LKAS001,00:00,00:00,
17/05/2016,LKAS002,07:58,16:10,
17/05/2016,LKAS003,00:00,00:00,
17/05/2016,LKB001,11:07,11:59,
17/05/2016,LKB002,10:14,19:29,
