AttendanceDate,Employee Code,InTime, OutTime
4/13/2016,LKAS001,0:00,0:00
4/13/2016,LKAS002,7:51,16:08
4/13/2016,LKB001,9:54,9:54
4/13/2016,LKB002,0:00,0:00
4/13/2016,LKB004,0:00,0:00
4/13/2016,LKB005,0:00,0:00
4/13/2016,LKC002,0:00,0:00
4/13/2016,LKC003,13:19,17:11
4/13/2016,LKD001,10:22,18:41
4/13/2016,LKD002,0:00,0:00
4/13/2016,LKD004,9:57,17:45
4/13/2016,LKD005,9:48,18:41
4/13/2016,LKD006,11:18,19:03
4/13/2016,LKD007,16:32,16:33
4/13/2016,LKD008,10:13,17:09
4/13/2016,LKD009,0:00,0:00
4/13/2016,LKD010,8:57,0:18
4/13/2016,LKD012,9:27,22:03
4/13/2016,LKD014,0:00,0:00
4/13/2016,LKD015,12:41,22:03
4/13/2016,LKD016,0:00,0:00
4/13/2016,LKD017,9:33,10:20
4/13/2016,LKD018,0:00,0:00
4/13/2016,LKD020,0:00,0:00
4/13/2016,LKD021,10:42,19:13
4/13/2016,LKD022,5:48,14:39
4/13/2016,LKD023,0:00,0:00
4/13/2016,LKD024,0:00,0:00
4/13/2016,LKD025,9:28,18:46
4/13/2016,LKD026,10:44,19:28
4/13/2016,LKD027,10:02,0:18
4/13/2016,LKD028,0:00,0:00
4/13/2016,LKD029,8:39,17:20
4/13/2016,LKH004,10:57,18:26
4/13/2016,LKH005,9:00,16:15
4/13/2016,LKI002,9:58,17:45
4/13/2016,LKM001,0:00,0:00
4/13/2016,LKM002,0:00,0:00
4/13/2016,LKM003,0:00,0:00
4/13/2016,LKQ001,0:00,0:00
4/13/2016,LKQ003,0:00,0:00
4/13/2016,LKQ004,9:38,18:46
4/13/2016,LKQ005,8:31,16:37
4/13/2016,LKS001,0:00,0:00
4/12/2016,LKAS002,8:14,16:09
4/12/2016,LKB001,10:01,20:58
4/12/2016,LKB002,9:25,17:51
4/12/2016,LKB004,0:00,0:00
4/12/2016,LKB005,0:00,0:00
4/12/2016,LKC002,10:45,18:06
4/12/2016,LKD001,11:18,18:15
4/12/2016,LKD004,10:18,20:48
4/12/2016,LKD005,0:00,0:00
4/12/2016,LKD006,12:09,20:29
4/12/2016,LKD008,10:01,23:20
4/12/2016,LKD010,10:42,23:16
4/12/2016,LKD012,10:15,22:57
4/12/2016,LKD015,10:32,17:28
4/12/2016,LKD016,10:18,20:01
4/12/2016,LKD017,9:44,17:36
4/12/2016,LKD020,0:00,0:00
4/12/2016,LKD021,10:34,19:13
4/12/2016,LKD022,5:31,15:08
4/12/2016,LKD023,0:00,0:00
4/12/2016,LKD024,0:00,0:00
4/12/2016,LKD025,9:42,18:18
4/12/2016,LKD027,9:47,22:17
4/12/2016,LKD029,9:35,18:47
4/12/2016,LKH004,0:00,0:00
4/12/2016,LKH005,8:48,19:11
4/12/2016,LKI002,9:24,19:23
4/12/2016,LKM001,13:35,20:16
4/12/2016,LKM002,0:00,0:00
4/12/2016,LKM003,0:00,0:00
4/12/2016,LKQ001,11:40,11:40
4/12/2016,LKQ003,10:37,18:29
4/12/2016,LKQ004,9:47,18:30
4/12/2016,LKQ005,8:39,19:55
4/12/2016,LKS001,0:00,0:00
4/11/2016,LKAS001,0:00,0:00
4/11/2016,LKAS002,8:09,11:58
4/11/2016,LKB001,9:00,12:11
4/11/2016,LKB002,9:33,9:38
4/11/2016,LKB004,0:00,0:00
4/11/2016,LKB005,9:37,11:05
4/11/2016,LKC002,11:00,11:44
4/11/2016,LKC003,0:00,0:00
4/11/2016,LKD001,11:15,11:15
4/11/2016,LKD002,0:00,0:00
4/11/2016,LKD004,10:24,11:08
4/11/2016,LKD005,9:43,12:06
4/11/2016,LKD006,10:47,11:55
4/11/2016,LKD007,10:45,10:48
4/11/2016,LKD008,9:13,12:04
4/11/2016,LKD009,0:00,0:00
4/11/2016,LKD010,10:39,10:39
4/11/2016,LKD012,10:48,12:06
4/11/2016,LKD014,0:00,0:00
4/11/2016,LKD015,10:10,11:04
4/11/2016,LKD016,10:06,11:20
4/11/2016,LKD017,9:38,11:49
4/11/2016,LKD018,0:00,0:00
4/11/2016,LKD020,10:13,11:21
4/11/2016,LKD021,0:00,0:00
4/11/2016,LKD022,6:12,9:30
4/11/2016,LKD023,9:53,11:24
4/11/2016,LKD024,0:00,0:00
4/11/2016,LKD025,9:39,9:39
4/11/2016,LKD026,0:00,0:00
4/11/2016,LKD027,10:22,10:44
4/11/2016,LKD028,0:00,0:00
4/11/2016,LKD029,8:36,11:03
4/11/2016,LKH004,0:00,0:00
4/11/2016,LKH005,10:20,11:53
4/11/2016,LKI002,10:58,11:39
4/11/2016,LKM001,10:54,10:54
4/11/2016,LKM002,0:00,0:00
4/11/2016,LKM003,0:00,0:00
4/11/2016,LKQ001,11:41,12:09
4/11/2016,LKQ003,9:56,10:15
4/11/2016,LKQ004,10:31,10:31
4/11/2016,LKQ005,10:19,10:19
4/11/2016,LKS001,0:00,0:00
